GATE_TYPE,GATE_NAME,COUNTY_NAME,NEIGHBORHOOD_NAME,LOCATION,STREET_NAME,LATITUDE,LONGITUDE
Araç Alt Geçidi,CNR Araç Alt Geçidi,BAKIRKÖY,YEŞİLKÖY,CNR,Havalimanı yolu,40.9851630597794,28.8266399473291
Araç Üst Geçidi,Nurtepe Kavşağı Köprüsü,EYÜP,GÜZELTEPE,Nurtepe,Nurtepe Kavşağı,41.0651290676985,28.9513012450866
Araç Alt Geçidi,Büyükdere Cad. 4.Levent Araç Alt Geçidi,BEŞİKTAŞ,ESENTEPE,Büyükdere Cad.,Büyükdere Cad.,41.0932884064364,29.0052020067664
Köprü,Ç.Çeşme Kavşağı-3,KÜÇÜKÇEKMECE,KARTALTEPE,Havaalanı Yanı E-5 Bağlantısı,D-100,40.9921321071239,28.8184088897634
Köprü,Volvo Köprü 1,ZEYTİNBURNU,KAZLIÇEŞME,Demirhane Caddesi Zübeyde Hanım Cad. Kesişimi,Demirhane Caddesi,40.9885576015596,28.9085015318285
Yaya Üst Geçidi,Saya Yokuşu Üst Geçidi,EYÜP,ÇIRÇIR,Alibeyköy,Atatürk Bulvarı,41.0798701723443,28.9321794900509
Yaya Üst Geçidi,Derimod Yaya Üst Geçidi,ZEYTİNBURNU,KAZLIÇEŞME,2.B Belediye Önü,Sahil Kennedy Cad.,40.9863077021952,28.9094969388809
Yaya Üst Geçidi,Kumcular Yaya Üst Geçidi,ZEYTİNBURNU,KAZLIÇEŞME,Kumcular,Sahil Kennedy Cad.,40.9818344972245,28.8927692090763
Köprü,Şehit Şenol Özgül Köprüsü,BAĞCILAR,100. YIL,Barbaros Caddesi,0-3,41.0549688296164,28.8548921845927
Köprü,Tekstilkent Üst Geçidi,ESENLER,ORUÇREİS,TEM,Tekstilkent Arkası,41.0672580948894,28.8597459935825
Araç Alt Geçidi,Birlik Alt Geçidi (Liman Sok. Matbaacılar Cad.Kesişimi),BAĞCILAR,GÖZTEPE,O3 Altı,Matbaacılar Cad.,41.0580137314078,28.846004603805
Araç Alt Geçidi,Birlik Alt Geçidi 1.,BAĞCILAR,100. YIL,O3 Altı,Veysel Karani Cad.,41.0562934065939,28.8493755722668
Araç Alt Geçidi,Mehmet Akif Ersoy Gazi Cad.Kesişimi Köp.,ESENLER,BİRLİK,O3 Altı,Çinçindere Alt Geçidi,41.0533122373088,28.8656223682077
Araç Alt Geçidi,Kadife Kavşağı  Tünel 2,BAYRAMPAŞA,YENİDOĞAN,O3 Altı,O3,41.0385202111096,28.9154088373884
Köprü,Aksaray Köprülü Kavşak İSKİ Önü Bağlantı Yolu),FATİH,İSKENDERPAŞA,Aksaray Meydanı Bağ. Yolu,Aksaray Meydanı Bağ. Yolu,41.0096406677991,28.9503349744668
Köprü,Aksaray Üst Geçidi 1,FATİH,KEMALPAŞA,Kemalpaşa ,Atatürk Bulvarı,41.0096697804924,28.9533599196839
Araç Alt Geçidi,Topçular,EYÜP,TOPÇULAR,Vatan Bağ. Yolu,O3,41.0302696560892,28.9221756067431
Araç Alt Geçidi,Otogar Giriş Alt Geçidi,BAYRAMPAŞA,ALTINTEPSİ,Otogar Önü,Otogar Yolu,41.0360783921091,28.8947222806133
Yaya Alt Geçidi,Eminönü Yaya Alt Geçidi 1.,FATİH,HOBYAR,Eminönü Meydan,Reşadiye Caddesi,41.0172171476959,28.9730905994499
Yaya Üst Geçidi,Otakçılar Yaya Üst Geçidi,EYÜP,DEFTERDAR,E5 Altı,Otakçılar Cad.,41.0377756702227,28.937323705853
Araç Alt Geçidi,Edirnekapı Araç Alt Geçidi,EYÜP,DEFTERDAR,Edirnekapı,Savaklar Cad.,41.0313480848053,28.9355550025353
Yaya Üst Geçidi,Londra Asfaltı Metrobüs Yaya Üst Geçidi,AVCILAR,GÜMÜŞPALA,KIA Motor Önü,D-100,40.9788853644294,28.7339457441097
Yaya Üst Geçidi,Hacı Şerİf Metrobüs Yaya Üst Geçidi,AVCILAR,DENİZKÖŞKLER,IVECO GENPAR Önü,D-100,40.9773159468832,28.7408544962132
Araç Alt Geçidi,Vatan Kavşağı,AVCILAR,GÜMÜŞPALA,Küçükçekmece Sahil,D-100,40.9793255299247,28.7489520620268
Araç Alt Geçidi,Üniversite Önü Tünel,AVCILAR,ÜNİVERSİTE,Üniversite Önü,Firuzköy Bulvarı,40.9885647447718,28.7213072688314
Yaya Üst Geçidi,Fİruzköy Bulvari Avcılar Sanyi Önü Yaya Üst Geçidi ,AVCILAR,FİRUZKÖY,Avcılar Sanayi Önü,Firuzköy Bulvarı,41.0122319826396,28.6972206194987
Araç Alt Geçidi,Kurçeşme Alt Geçidi,AVCILAR,GÜMÜŞPALA,Migros Önü,Kuruçeşme Cad,40.9799624858951,28.7320497136893
Araç Alt Geçidi,Tahtakale TEM Üst Köprüsü,AVCILAR,TAHTAKALE,Işık Okulları Önü,O3 Kuzey Güney Yan Yol,41.0543788662496,28.7207499169285
Araç Alt Geçidi,Büyükçekmece Alt Geçidi,BÜYÜKÇEKMECE,FATİH,Kolan Hastanesi Yanı,Cengiz Topel,41.022761854555,28.5846724796667
Araç Alt Geçidi,Alkent U Dönüşü,BÜYÜKÇEKMECE,ALKENT 2000,Hadımköy Gişe,Alkent U Dönüşü,41.0810975882994,28.6265475181029
Araç Alt Geçidi,Adnan Kahveci Geçidi,BÜYÜKÇEKMECE,19 MAYIS,Migros Karşısı,Adnan Kahveci,41.0239403350568,28.586344440118
Araç Alt Geçidi,Haznedar Kavşağı,BAHÇELİEVLER,BAHÇELİEVLER,Balıkçı Kenan,Adnan Kahveci Bılvarı,41.006272808375,28.8705713118523
Köprü,Yenibosna Köprüsü,BAHÇELİEVLER,FEVZİ ÇAKMAK,Kuleli,Yıldırım Beyazıt,40.9923209146863,28.8356860965917
Araç Alt Geçidi,Değirmen Bahçe Alt Geçidi,BAHÇELİEVLER,YENİBOSNA MERKEZ,STARCITY,Değirmen Bahçe Alt Geçidi,41.0115154070947,28.8180309603933
Yaya Üst Geçidi,Hasan Doğan,BAHÇELİEVLER,CUMHURİYET,Hasan Doğan Spor Salonu,Kemal sunal,41.0187548692864,28.8487382372775
Yaya Üst Geçidi,Vergi Dairesi ,BAŞAKŞEHİR,ZİYA GÖKALP,Vergi Dairesi Önü,Atatük Bulvarı,41.0732039621873,28.8104943530741
Köprü (Dere),Terkos Girişi,ARNAVUTKÖY,BAKLALI,Bilinmiyor,Terkos-Karaburun Caddesi,41.2992703198827,28.6722083063103
Köprü (Dere),Terkos-Karburun Arası,ARNAVUTKÖY,Bilinmiyor,TERKOS-KARABURUN CAD.,Terkos-Karaburun Caddesi,41.3172882646555,28.6752488022973
Köprü (Dere),İhsaniye Köprüsü,EYÜP,İHSANİYE,Bolluca-İhsaniye Yolu,Bolluca-İhsaniye Yolu,41.2387777753607,28.8084674212149
Köprü (Dere),Işıklar Köyü Girişi,EYÜP,IŞIKLAR,Işıklar-İstanbul  Caddesi,Işıklar-İstanbul  Caddesi,41.2255578082596,28.8298493643742
Köprü (Dere),Çiftalan Köy Yolu,EYÜP,MİTHATPAŞA,Davutpaşa Caddesi,Davutpaşa Caddesi,41.1926310154823,28.916036453982
Köprü (Dere),Hamidiye Önü,EYÜP,MİTHATPAŞA,Selanik Bulvarı,Selanik Bulvarı,41.1480171157,28.9207158373601
Köprü (Dere),Kemerburgaz Girişi,EYÜP,MİTHATPAŞA,Pirinççi Yolu,Pirinççi Yolu,41.1613109133889,28.9063166050635
Köprü (Dere),Başakköy-Ormanlı Yolu,ÇATALCA,BAŞAK,Başakköy Mahalle Çıkışında İSKİ Tesisi Mevkii,Sultan Süleyman Cad.,41.3347254672191,28.4528206924256
Köprü (Dere),Dağyrenice Mahallesi,ÇATALCA,DAĞYENİCE,"Çanakça Yönünden Dağyenice
 Mahallesine Girişte",Karacaköy Cad.,41.2708273180726,28.4838880005602
Köprü,Kuzey Yanyol MASKO Köp.,BAŞAKŞEHİR,ZİYA GÖKALP,MASKO Önü,TEM Kuzey Yanyol,41.0643465069533,28.7874292620007
Yaya Üst Geçidi,Bayramtepe Yaya Üst Geçidi,BAŞAKŞEHİR,ALTINŞEHİR,Alltınşehir,TEM Kuzey Yanyol,41.0627053401289,28.7519475227443
Araç Alt Geçidi,MASKO 1.No'lu  Kapı Önü Alt Geçit,BAŞAKŞEHİR,ZİYA GÖKALP,MASKO 1 No'lu Kapı Önü,O3 Kuzey Yan Yol,41.0639524750517,28.7946017007552
Köprü,TEM Kuzey Yanyol MALL OF Önü 1,BAŞAKŞEHİR,ZİYA GÖKALP,MALL OF Yanı,TEM Kuzey Yanyol,41.0627961368526,28.8032246885762
Köprü,Altınşehir Tarihi Köprü,BAŞAKŞEHİR,ŞAHİNTEPE,Göl Üstü,Eski İstanbul Cad.,41.0636631681149,28.7432417813572
Araç Alt Geçidi,Esenkent-Bahçeşehir Tüneli,BAŞAKŞEHİR,BAHÇEŞEHİR 2. KISIM,Bahçekent Sitesi,Esenkent-Bahçeşehir Yolu,41.0591600012447,28.6897577057797
Araç Alt Geçidi,Beledİye Önü Alt Geçit,ESENYURT,MEVLANA,Beylikdüzü Meydanı,D-100,41.0116912189981,28.6512938251797
Araç Alt Geçidi,M.Akif Caddesİ Alt Geçİt,BEYLİKDÜZÜ,YAKUPLU,MEDIAMARKET,M.Akif,41.0061137983956,28.6679924944897
Yaya Üst Geçidi,Anadolu Şark Sofrası Önü Yaya Üst Geçidi,ESENYURT,GÖKEVLER,Anadolu Şark Sofrası Önü,Hadımköy Yolu Cad.,41.0252886842253,28.6284002728858
Köprü,Evren Oto Sanayİ Kavşağı,ESENYURT,KOZA,Evvren Oto sSnayi,Evren Oto Sanayİ Kavşağı,41.056596393151,28.6612480317629
Yaya Üst Geçidi,Azİz Mahmut Hüdaİ Yaya Üst Geçidi ,ESENYURT,OSMANGAZİ,METRO Market,Kıraç-Hadimköy Yolu,41.0538247689866,28.6278543653236
Köprü,Toplu Konutlar-1,KÜÇÜKÇEKMECE,ATAKENT,"1,Etap",Toplu Konutlar-1,41.046318222554,28.792861813433
Yaya Üst Geçidi,Yeşilova,KÜÇÜKÇEKMECE,İSTASYON,Sevcan Otel,D-100,40.9861189340481,28.7866107800401
Yaya Üst Geçidi,Beşyol,KÜÇÜKÇEKMECE,BEŞYOL,Gültepe İlkokulu,D-100,40.9949431125093,28.7951015950269
Yaya Üst Geçidi,Küçükçekmece Metrobüs,KÜÇÜKÇEKMECE,FATİH,İBB Mezarlıklar Müd.,D-100,40.9863439417467,28.7694167088253
Köprü,Halkalı Gümrük Tır Köprüsü,KÜÇÜKÇEKMECE,İSTASYON,Gümrük,İstasyon,41.0176064024339,28.7686239284983
Köprü,Taşhan Kavşağı,BAKIRKÖY,SAKIZAĞACI,Bakırköy Beled.Tıp Merkezi,Taşhan Kavşağı,40.9780570097097,28.8851206787166
Yaya Üst Geçidi,İncirli,BAHÇELİEVLER,BAHÇELİEVLER,ETHICA Hastanesi,D-100,40.9980088740586,28.8729711305125
Köprü,Hava Harp Okulu Köprüsü,BAKIRKÖY,YEŞİLKÖY,Hava Harp Okulu,Rauf Orbay,40.9698726158308,28.8407321137281
Köprü,Florya Cad. Tren Köp.,BAKIRKÖY,BASINKÖY,Güneş Plajı,Florya Cad. Tren Köp.,40.9723203063631,28.7893689232507
Köprü,Merter-2 Kavşağı,BAKIRKÖY,OSMANİYE,Marmara FORUM,Merter-2 Kavşağı,40.9991011958933,28.8867650924608
Yaya Üst Geçidi,İstiklal Mahallesi Muhtarlığı Önü Yaya Üst Geçidi,BEYOĞLU,KAPTANPAŞA,İstiklal Mahallesi Muhtarlığı Önü,Piyalepaşa Bulvarı,41.0391454873893,28.9672558146391
Köprü,Sait Çiftçi Barbaros Boğaziçi Köprüsü Üst Geçidi ,BEŞİKTAŞ,CİHANNÜMA,Sait Çiftçi Barbaros Boğaziçi Köprüsü Üst Geçidi Yıldız,Yıldız Cad. Bağlantı Yolu,41.05113026359,29.0086352793308
Araç Alt Geçidi,TEM Alt Geçit Akatlar Spor Klübü Önü Araç Alt Geçidi,BEŞİKTAŞ,KONAKLAR,TEM Alt Geçit Akatlar Spor Klübü Önü,Bağlantı Yolu,41.0930231669581,29.022415762683
Yaya Üst Geçidi,Mecidiyeköy Metrobüs Yaya Üst Geçidi,ŞİŞLİ,KUŞTEPE,Mecidiyeköy Metrobüs Üst Geçit,O - 1 Otoyolu,41.0670863088753,28.9907900939216
Köprü,Haliç Atatürk Köprüsü,BEYOĞLU,Bilinmiyor,Haliç Atatürk Köprüsü,E-5 Karayolu,41.0437428863412,28.9418958880137
Araç Alt Geçidi,Tershane Caddesi Şişhane Katılımı Araç Alt Geçidi,BEYOĞLU,BEDRETTİN,Tershane Caddesi Şişhane Katılımı,Tersane Kavşağı Bağlantı Yolu,41.0257979780755,28.9686370882401
Yaya Üst Geçidi,İTÜ Önü Yaya Üst Geçidi,SARIYER,REŞİTPAŞA,İTÜ Önü Yaya Üst Geçidi,Katar Cad.,41.1082614753861,29.0227637635887
Araç Alt Geçidi,Atatürk Sanayi Sitesi Maslak Araç Alt Geçidi,ŞİŞLİ,DARÜŞŞAFAKA,Atatürk Sanayi Sitesi Maslak,Büyükdere Cad.,41.1160864537278,29.0245264937398
Viyadük,AKOM Karşısı Araç Üst Geçidi,KAĞITHANE,GÜZELTEPE,AKOM Karşısı,Nurtepe Viyadüğü,41.0895463367623,28.9607147849635
Viyadük,Kağıthane Çıkışı Sadabat 2. Köprü  Araç Üst Geçidi,KAĞITHANE,MERKEZ,Kağıthane Çıkışı Sadabat 2. Köprü,O-2,41.0676668210188,28.9572741574184
Araç Alt Geçidi,Büyükdere Caddesi Çeliktepe Girişi Araç Alt Geçidi,ŞİŞLİ,KONAKLAR,Büyükdere Caddesi Çeliktepe Girişi,Selvili Sk.,41.0851965269917,29.0091822685986
Yaya Üst Geçidi,Vadi İstanbul Önü Yaya Üst Geçidi,KAĞITHANE,HUZUR,Vadi İstanbul Önünde Kalan Üst Geçit Okmeydanı Sarıyer İstikameti ,Vadi İstanbul Önünde Kalan Üst Geçit Okmeydanı Sarıyer İstikameti ,41.1007136532527,28.9849676067041
Köprü,Silahtarağa Tünel Girişi Araç Üst Geçidi,KAĞITHANE,MERKEZ,Silahtarağa Tünel Giriş Çıkış Kolları,İmrahor Cad.,41.0643995061736,28.9538150993204
Araç Alt Geçidi,Mescid-i Selam Araç Alt Geçidi,SULTANGAZİ,CEBECİ,Mescid-i Selam,Mahmetbey Cad.,41.1155798217993,28.8521827510505
Araç Alt Geçidi,Lütfi Aykaç Bulvarı Araç Alt Geçidi,SULTANGAZİ,YUNUS EMRE,Lütfi Aykaç Bulvarı Araç Alt Geçidi,Lütfi Aykaç Bulvarı,41.0917048115274,28.8958968852475
Araç Alt Geçidi,Malkoçoğlu Araç Alt Geçidi,SULTANGAZİ,ASKERİ BÖLGE ESENLER,Malkoçoğlu,Mahmutbey Cad.,41.1112752990074,28.8479570854763
Köprü (Dere),Sevban Ahmet Köprü,ARNAVUTKÖY,İMRAHOR,Sevban Ahmet Caddesi Üstü,Sevban Ahmet,41.2121610075635,28.7428758034976
Köprü (Dere),Çayırdere-Hallaçlı Yolu 4,ÇATALCA,HALLAÇLI,İlçe Sınırından 750 m. Sonra,Milli Şair Cad.,41.3085273223294,28.1159420015813
Menfez,Çayırdere-Hallaçlı Yolu 5,ÇATALCA,HALLAÇLI,İlçe Sınırından 1+850 km. Sonra,Milli Şair Cad.,41.3165296665665,28.1074918264609
Menfez,Ormanlı Köprüsü 3,ÇATALCA,ORMANLI,"Ormanlı'dan Hisarbeyli İstikametine
 Giderken 1+000 km . Sonra",Karacaköy Cad.,41.3827544100261,28.4567568618105
Köprü (Dere),Bekirli - İhsaniye Yolu 1,ÇATALCA,İHSANİYE,"İhsaniye'den Bekirli
 İstikametine Giderken 1+800 km
. Sonra",Bekirli Cad.,41.2425600425188,28.3426239279842
Köprü,Bahşayiş- Karaağaç Yolu,ÇATALCA,BAHŞAYİŞ,Hezarfen Çelebi Havaalanı Mevkii,Aksaray Cad.,41.1065397328457,28.5464622168101
Menfez,Çanakca - Kestanelik,SİLİVRİ,AKÖREN,"Çanakça İstikametine doğru Giderken
 Kestanelik Mahalle Çıkışında",Karacaköy Cad.,41.2380704554942,28.4953503210326
Menfez,İzzettin-Kestanelik Yolu,ÇATALCA,KESTANELİK,Kestanelikden İzzettin İstikametinde Giderken 900 m. Sonra,Kestanelik Cad.,41.2216959019082,28.4974170391448
Menfez,Nakkaş Mahallesi,ÇATALCA,NAKKAŞ,Baba Nakkaş Cad. Birleşiminde,Harmanlıklar Cad.,41.1889049910407,28.5522595935642
Menfez,Örencik - Yazlık Yolu,ÇATALCA,DAĞYENİCE,Yazlık Giriş den Örencik İstikametine 650 m. Sonra,Kordon Sok.,41.2968353413919,28.507368792097
Köprü (Dere),Yalıköy Mahallesi,ÇATALCA,YALIKÖY,Yalıköy Çıkışından Karacaköy İstikametine Doğru 300 m. Sonra,Prf. Dr. Tansut Çiller Cad.,41.47093388541,28.3020386154041
Köprü (Dere),Akören - Bekirli Yolu,SİLİVRİ,AKÖREN,Akören Kabakca Yolundan Bekirli İhsaniye Yolu İstikametine 2+100 km. Sonra,Baba Küstü Cad.,41.2158161709033,28.3379034682297
Köprü (Dere),Kabakça - Akören Yolu 2,SİLİVRİ,AKÖREN,Kabakca İstasyondan Akören İstikametine 600 m. Sonra,Hanice Cad.,41.2153158597397,28.3601319615112
Köprü (Dere),Çayırdere Mahallesi,SİLİVRİ,ÇAYIRDERE,Şener Sok. Mevkii,Cennet Cad.,41.2789053092496,28.1513079301893
Köprü (Dere),Fener - B.Sinekli Yolu 2,SİLİVRİ,BÜYÜK SİNEKLİ,Küçüksinekli Yönünden Fener İstikametine Ggiderken 750 m. Sonra,Akşemsettin Cad.,41.2096774899281,28.2145468139992
Köprü (Dere),Sayalar Köprüsü,SİLİVRİ,SAYALAR,Çayırdere İstikametinden Sayalar Mahalle Girişi,Hacı Ömer Cad.,41.310689459451,28.1762741914448
Köprü,Seymen-Yolçatı Yolu ,SİLİVRİ,YOLÇATI,Seymen-Yolçatı İstikameti E80 Yolu Üzeri,Mondros Cad.,41.1408939308042,28.1493764847464
Köprü (Dere),Yolçatı Giriş,SİLİVRİ,YOLÇATI,Yolçatı Mahallesi Girişi,Bahar Cad.,41.132093105597,28.1302491568411
Yaya Üst Geçidi,Muammer Alemdar Üst Geçidi,BÜYÜKÇEKMECE,KAMİLOBA,Işık Sitesi,D100 Karayolu,41.0345800938132,28.446889864675
Yaya Üst Geçidi,Kamiloba Sudi Özkan Üst Geçidi,BÜYÜKÇEKMECE,KAMİLOBA,Marin Geçiti,D100 Karayolu,41.0383388953646,28.4342853155246
Yaya Üst Geçidi,Bedaş Üst Geçidi,SİLİVRİ,ALİBEY,Altıntepe Sok.,D100 Karayolu,41.074903718892,28.2576063955042
Yaya Üst Geçidi,Eski Sanayi Üst Geçidi,SİLİVRİ,PİRİ MEHMET PAŞA,Eski Sanayi Durağı,D100 Karayolu,41.0778560645041,28.2436180084471
Yaya Üst Geçidi,Gümüşyaka Üst Geçidi,SİLİVRİ,GÜMÜŞYAKA,Gümüşyaka Camii Mevkii,D100 Karayolu,41.0464298975506,28.0426219870723
Araç Üst Geçidi,50.Yıl Caddesi Araç Üst Geçidi,BAYRAMPAŞA,KARTALTEPE,50.Yıl Caddesi Üstü E 80 Bağlantı Yolu,50.Yıl Caddesi,41.0587372346468,28.8943532868205
Araç Üst Geçidi,Tem - Atatürk Bulvarı Köprüsü,BAĞCILAR,MAHMUTBEY,TEM-Mahmutbey,TEM,41.0612923508266,28.811555030419
Araç Alt Geçidi,Kanuni Sultan Süleyman Caddesi YSS Yolu Bağlantısı,BAŞAKŞEHİR,BAŞAK,Bilinmiyor,Kanuni Sultan Süleyman Caddesi,41.1037364167565,28.8142608441943
Araç Alt Geçidi,Mahmutbey Batı Kavşağı Araç Alt Geçidi,KÜÇÜKÇEKMECE,MEHMET AKİF,Mahmutbey Batı Kavşağı Basın Ekspress Bağlantısı,Mahmutbey Batı Kavşağı,41.0599221602757,28.8101751006498
Tünel,Çayırbaşı Tüneli,SARIYER,MADEN,3.Bölge Şantiye- Maden Yolu,3.Bölge Şantiye- Maden Yolu,41.1580315133585,29.0266231144522
Araç Alt Geçidi,Reşat Nuri Güntekin Cad. Araç Alt Geçidi,BAŞAKŞEHİR,BAŞAK,Reşat Nuri Güntekin Cad,Reşat Nuri Güntekin Cad,41.1035489329019,28.8121630478912
Araç Alt Geçidi,Güzelce Jandarma Önü Alt Geçit ,BÜYÜKÇEKMECE,Bahçelievler,Güzelce Jandarma önü,Aydınlar Cad.,41.0106208362794,28.5001465553777
Köprü (Dere),Gökçeali - Subaşı Yolu,ÇATALCA,GÖKÇEALİ,Subaşı Kavşağından Gökçeali İstikametinde 1+100 km.,Gökçeali Cad.,41.2109675774967,28.4500955438603
Yaya Üst Geçidi,Okmeydanı Metrobüs Yaya Üst Geçidi,KAĞITHANE,TALATPAŞA,Okmeydanı Metrobüs Üstü,O-1,41.0568674439329,28.9617637521768
Araç Üst Geçidi,YSS Yolu İstoça Bağlantı Köprüsü,BAŞAKŞEHİR,BAŞAK,İstoç Bağlantı Köprüsü,O-6 Bağlantı Yolu,41.0752758839804,28.8155211197672
Yaya Üst Geçidi,İmam Hatip Bulvarı Yaya Üst Geçidi,GAZİOSMANPAŞA,Bilinmiyor,Küçükköy İmam Hatip Önü,Imam Hatip Lisesi Bulvarı,41.0846299316479,28.9103894697311
Araç Alt Geçidi,TEM Kuzey Yanyol Ispartakule Kavşaği 2,AVCILAR,TAHTAKALE,Işık Okulları Önü,O3 Kuzey Güney Yan Yol,41.0561139388377,28.7146311451962
Köprü (Dere),Çatalca - Gökçeali Yolu 1,ÇATALCA,KALEİÇİ,İnceğiz Kavşağından Çatalca İstikametinde 0+150 km.,Gökçeali Cad.,41.1653743292504,28.4544420616696
Araç Alt Geçidi,Başakşehir Mahmutbey Giriş Araç Alt Geçidi,BAĞCILAR,MAHMUTBEY,Başakşehir Mahmutbey yönü,O-3 Güney Yanyol,41.0606226346517,28.8149553567019
Araç Alt Geçidi,Taşkışla Caddesi Araç Alt Geçidi,ŞİŞLİ,HARBİYE,Hilton Altı- Taşkışla cad,Taşkışla Caddesi,41.0468244548354,28.9909059637193
Bilinmiyor,YSS Yolu Bağlantı Köprüsü S.Demirel Bulvarı ,BAŞAKŞEHİR,ZİYA GÖKALP,Bilinmiyor,O-6 Bağlantı Yolu,41.0670172397921,28.8137022379446
Tünel,Piyalepaşa Kağıthae Tüneli,KAĞITHANE,Bilinmiyor,Piyalepaşa Kağıthae Tüneli,Piyalepaşa Kağıthae Tüneli,41.0633659452673,28.9547740441682
